Survived,SibSp,Parch,Has_Cabin,Sex_Encoded,Pclass_Encoded,Embarked_Q,Embarked_S,Age_Scaled,Fare_Log_Scaled
0,1,0,0,1,1,0,1,-0.5834320775681558,-0.937738268996525
1,1,0,1,0,3,0,0,0.742685221190076,1.5630645439328383
1,0,0,0,0,1,0,1,-0.2519027528785979,-0.843592637875174
1,1,0,1,0,3,0,1,0.4940382276729075,1.3135995861484342
0,0,0,0,1,1,0,1,0.4940382276729075,-0.8269425125655973
0,0,0,0,1,1,1,0,-0.08613809053381893,-0.7741159067902044
0,0,0,1,1,3,0,1,2.0688025199483078,1.2858981406057086
0,3,1,0,1,1,0,1,-2.199637535429751,0.24051083407961027
1,0,2,0,0,1,0,1,-0.16902042170620843,-0.47595873819643225
1,1,0,0,0,2,0,0,-1.2464907269472718,0.6497152650803806
1,1,1,1,0,1,0,1,-2.075314038671167,-0.023911397356665767
1,0,0,1,0,3,0,1,2.1102436855345026,0.5057419413731775
0,0,0,0,1,1,0,1,-0.7491967399129349,-0.8269425125655973
0,1,5,0,1,1,0,1,0.8255675523624655,0.6952352921999051
0,0,0,0,0,1,0,1,-1.2464907269472718,-0.8531270238554911
1,0,0,0,0,2,0,1,2.1102436855345026,-0.0722169303782028
0,4,1,0,1,1,1,0,-2.199637535429751,0.6127084536079945
1,0,0,0,1,2,0,1,-0.08613809053381893,-0.3046458931962617
0,1,0,0,0,1,0,1,0.16250890298334955,0.060934025989985284
1,0,0,0,0,1,0,0,-0.08613809053381893,-0.9413714272077109
0,0,0,0,1,2,0,1,0.4940382276729075,0.48160111997292887
1,0,0,1,1,2,0,1,0.41115589650051804,-0.3046458931962617
1,0,0,0,0,1,1,0,-1.1636083957748824,-0.8296970819038674
1,0,0,1,1,3,0,1,-0.08613809053381893,0.8425047648077887
0,3,1,0,0,1,0,1,-1.7437847139816087,0.24051083407961027
1,1,5,0,0,1,0,1,0.742685221190076,0.6994008183071385
0,0,0,0,1,1,0,0,-0.08613809053381893,-0.9413714272077109
0,3,2,1,1,3,0,1,-0.8320790710853244,1.5630645439328383
1,0,0,0,0,1,1,0,-0.08613809053381893,-0.8497516826778134
0,0,0,0,1,1,0,1,-0.08613809053381893,-0.8475157022567751
0,0,0,0,1,3,0,0,0.908449883534855,0.5555651505841092
1,1,0,1,0,3,0,0,-0.08613809053381893,1.5630645439328383
1,0,0,0,0,1,1,0,-0.08613809053381893,-0.8672988523685876
0,0,0,0,1,2,0,1,2.1102436855345026,-0.5401326474896715
0,1,0,0,1,3,0,0,-0.08613809053381893,1.5630645439328383
0,1,0,0,1,3,0,1,1.074214545879634,1.2890079243426653
1,0,0,0,1,1,0,0,-0.08613809053381893,-0.9407602855054759
0,0,0,0,1,1,0,1,-0.6663144087405454,-0.8269425125655973
0,2,0,0,0,1,0,1,-0.9149614022577138,0.060934025989985284
1,1,0,0,0,1,0,0,-1.2464907269472718,-0.46531101107806416
0,1,0,0,0,1,0,1,0.908449883534855,-0.6518909067886722
0,1,0,0,0,2,0,1,-0.16902042170620843,0.2364366677703862
0,0,0,0,1,1,0,0,-0.08613809053381893,-0.8475157022567751
1,1,2,0,0,2,0,0,-2.1581963698435565,1.026926148912604
1,0,0,0,0,1,1,0,-0.8320790710853244,-0.8497516826778134
0,0,0,0,1,1,0,1,-0.08613809053381893,-0.8269425125655973
0,1,0,0,1,1,1,0,-0.08613809053381893,-0.1079546502830178
1,0,0,0,0,1,1,0,-0.08613809053381893,-0.8672988523685876
